Func,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,
Sharkfin-Normal,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1,1.02,1.04,1.06,1.08,1.1,1.12,1.14,1.16,1.18,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48,1.5,1.52,1.54,1.56,1.58,1.6,1.62,1.64,1.66,1.68,1.7,1.72,1.74,1.76,1.78,1.8,1.82,1.84,1.86,1.88,1.9,1.92,1.94,1.96,1.98,
Sharkfin-Cut,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sharkfin-Bit,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1,0.5,0.333333333333333,0.25,0.2,0.166666666666667,0.142857142857143,0.125,0.111111111111111,0.1,0.0909090909090909,0.0833333333333333,0.0769230769230769,0.0714285714285714,0.0666666666666667,0.0625,0.0588235294117647,0.0555555555555556,0.0526315789473684,0.05,0.0476190476190476,0.0454545454545455,0.0434782608695652,0.0416666666666667,0.04,0.0384615384615385,0.037037037037037,0.0357142857142857,0.0344827586206897,0.0333333333333333,0.032258064516129,0.03125,0.0303030303030303,0.0294117647058824,0.0285714285714286,0.0277777777777778,0.027027027027027,0.0263157894736842,0.0256410256410256,0.025,0.024390243902439,0.0238095238095238,0.0232558139534884,0.0227272727272727,0.0222222222222222,0.0217391304347826,0.0212765957446809,0.0208333333333333,0.0204081632653061,0.02,
Sharkfin-Symmetric,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,1,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,
Parabola-Normal,0,0.0396,0.0784,0.1164,0.1536,0.19,0.2256,0.2604,0.2944,0.3276,0.36,0.3916,0.4224,0.4524,0.4816,0.51,0.5376,0.5644,0.5904,0.6156,0.64,0.6636,0.6864,0.7084,0.7296,0.75,0.7696,0.7884,0.8064,0.8236,0.84,0.8556,0.8704,0.8844,0.8976,0.91,0.9216,0.9324,0.9424,0.9516,0.96,0.9676,0.9744,0.9804,0.9856,0.99,0.9936,0.9964,0.9984,0.9996,1,0.9996,0.9984,0.9964,0.9936,0.99,0.9856,0.9804,0.9744,0.9676,0.96,0.9516,0.9424,0.9324,0.9216,0.91,0.8976,0.8844,0.8704,0.8556,0.84,0.8236,0.8064,0.7884,0.7696,0.75,0.7296,0.7084,0.6864,0.6636,0.64,0.6156,0.5904,0.5644,0.5376,0.51,0.4816,0.4524,0.4224,0.3916,0.36,0.3276,0.2944,0.2604,0.2256,0.19,0.1536,0.1164,0.0783999999999998,0.0395999999999996,
Parabola-Cut,0,0.0396,0.0784,0.1164,0.1536,0.19,0.2256,0.2604,0.2944,0.3276,0.36,0.3916,0.4224,0.4524,0.4816,0.51,0.5376,0.5644,0.5904,0.6156,0.64,0.6636,0.6864,0.7084,0.7296,0.75,0.7696,0.7884,0.8064,0.8236,0.84,0.8556,0.8704,0.8844,0.8976,0.91,0.9216,0.9324,0.9424,0.9516,0.96,0.9676,0.9744,0.9804,0.9856,0.99,0.9936,0.9964,0.9984,0.9996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Parabola-Bit,0,0.0396,0.0784,0.1164,0.1536,0.19,0.2256,0.2604,0.2944,0.3276,0.36,0.3916,0.4224,0.4524,0.4816,0.51,0.5376,0.5644,0.5904,0.6156,0.64,0.6636,0.6864,0.7084,0.7296,0.75,0.7696,0.7884,0.8064,0.8236,0.84,0.8556,0.8704,0.8844,0.8976,0.91,0.9216,0.9324,0.9424,0.9516,0.96,0.9676,0.9744,0.9804,0.9856,0.99,0.9936,0.9964,0.9984,0.9996,1,0.5,0.333333333333333,0.25,0.2,0.166666666666667,0.142857142857143,0.125,0.111111111111111,0.1,0.0909090909090909,0.0833333333333333,0.0769230769230769,0.0714285714285714,0.0666666666666667,0.0625,0.0588235294117647,0.0555555555555556,0.0526315789473684,0.05,0.0476190476190476,0.0454545454545455,0.0434782608695652,0.0416666666666667,0.04,0.0384615384615385,0.037037037037037,0.0357142857142857,0.0344827586206897,0.0333333333333333,0.032258064516129,0.03125,0.0303030303030303,0.0294117647058824,0.0285714285714286,0.0277777777777778,0.027027027027027,0.0263157894736842,0.0256410256410256,0.025,0.024390243902439,0.0238095238095238,0.0232558139534884,0.0227272727272727,0.0222222222222222,0.0217391304347826,0.0212765957446809,0.0208333333333333,0.0204081632653061,0.02,
Parabola-Symmetric,0,0.0396,0.0784,0.1164,0.1536,0.19,0.2256,0.2604,0.2944,0.3276,0.36,0.3916,0.4224,0.4524,0.4816,0.51,0.5376,0.5644,0.5904,0.6156,0.64,0.6636,0.6864,0.7084,0.7296,0.75,0.7696,0.7884,0.8064,0.8236,0.84,0.8556,0.8704,0.8844,0.8976,0.91,0.9216,0.9324,0.9424,0.9516,0.96,0.9676,0.9744,0.9804,0.9856,0.99,0.9936,0.9964,0.9984,0.9996,1,0.9996,0.9984,0.9964,0.9936,0.99,0.9856,0.9804,0.9744,0.9676,0.96,0.9516,0.9424,0.9324,0.9216,0.91,0.8976,0.8844,0.8704,0.8556,0.84,0.8236,0.8064,0.7884,0.7696,0.75,0.7296,0.7084,0.6864,0.6636,0.64,0.6156,0.5904,0.5644,0.5376,0.51,0.4816,0.4524,0.4224,0.3916,0.36,0.3276,0.2944,0.2604,0.2256,0.19,0.1536,0.1164,0.0784,0.0396,
Sinusoidal-Normal,0,0.000986635785864221,0.00394264934276101,0.00885637463565558,0.0157084194356845,0.0244717418524232,0.0351117570558743,0.0475864737669902,0.0618466599780683,0.0778360372489925,0.0954915028125263,0.114743378612105,0.135515686289294,0.157726447035656,0.181288005125655,0.206107373853763,0.232086602510502,0.259123162949142,0.287110354217464,0.315937723657661,0.345491502812526,0.375655056417573,0.406309342707138,0.437333383217848,0.468604740235343,0.5,0.531395259764657,0.562666616782152,0.593690657292862,0.624344943582427,0.654508497187474,0.684062276342339,0.712889645782536,0.740876837050858,0.767913397489498,0.793892626146236,0.818711994874345,0.842273552964344,0.864484313710706,0.885256621387895,0.904508497187474,0.922163962751007,0.938153340021932,0.95241352623301,0.964888242944126,0.975528258147577,0.984291580564316,0.991143625364344,0.996057350657239,0.999013364214136,1,0.999013364214136,0.996057350657239,0.991143625364344,0.984291580564316,0.975528258147577,0.964888242944126,0.95241352623301,0.938153340021932,0.922163962751008,0.904508497187474,0.885256621387895,0.864484313710706,0.842273552964344,0.818711994874345,0.793892626146237,0.767913397489498,0.740876837050858,0.712889645782536,0.684062276342339,0.654508497187474,0.624344943582427,0.593690657292862,0.562666616782152,0.531395259764657,0.5,0.468604740235344,0.437333383217848,0.406309342707138,0.375655056417573,0.345491502812526,0.315937723657661,0.287110354217464,0.259123162949142,0.232086602510502,0.206107373853764,0.181288005125655,0.157726447035656,0.135515686289294,0.114743378612105,0.0954915028125263,0.0778360372489926,0.0618466599780685,0.0475864737669903,0.0351117570558743,0.0244717418524232,0.0157084194356845,0.00885637463565558,0.00394264934276112,0.000986635785864221,
Sinusoidal-Cut,0,0.000986635785864221,0.00394264934276101,0.00885637463565558,0.0157084194356845,0.0244717418524232,0.0351117570558743,0.0475864737669902,0.0618466599780683,0.0778360372489925,0.0954915028125263,0.114743378612105,0.135515686289294,0.157726447035656,0.181288005125655,0.206107373853763,0.232086602510502,0.259123162949142,0.287110354217464,0.315937723657661,0.345491502812526,0.375655056417573,0.406309342707138,0.437333383217848,0.468604740235343,0.5,0.531395259764657,0.562666616782152,0.593690657292862,0.624344943582427,0.654508497187474,0.684062276342339,0.712889645782536,0.740876837050858,0.767913397489498,0.793892626146236,0.818711994874345,0.842273552964344,0.864484313710706,0.885256621387895,0.904508497187474,0.922163962751007,0.938153340021932,0.95241352623301,0.964888242944126,0.975528258147577,0.984291580564316,0.991143625364344,0.996057350657239,0.999013364214136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
